Category	Text	Label (Informal)	Label (Formal)	Subcategory	Morris subcategory	Notes	Morris	Jacob	Morris v2	Morris v3
colloquial	הכל תלוי בחברים ומשפחה תומכת.	3=vemiʃpaχˈa	3=umiʃpaχˈa	prefix	prefix					
colloquial	נסיים היום ומחר נמשיך לעבוד.	2=vemaχˈaʁ	2=umaχˈaʁ	prefix						
colloquial	הלכנו הביתה ובמקום לנוח יצאנו.	2=vebimkˈom	2=uvimkˈom	prefix			x  should be uvi	fixed		
colloquial	קניתי בשוק ירקות ופירות טריים.	3=vepeʁˈot	3=ufeʁˈot	prefix						
colloquial	ההסכם נחתם בין ארצות הברית וישראל הבוקר.	5=vejisʁaʔˈel	5=visʁaʔˈel	prefix			x should be vis	fixed		
colloquial	קנינו בחנות מכחולים וצבעים לציור.	3=vetsvaʔˈim	3=utsvaʔˈim	prefix						
colloquial	אני אוהב מוזיקה וספורט אתגרי.	3=vespˈoʁt	3=uspˈoʁt	prefix						
colloquial	ארזתי מזוודה עם נעליים ובגדים לחופשה.	4=vebgadˈim	4=uvgadˈim	prefix						
colloquial	שתלנו עצים ופרחים בגינה הציבורית.	2=vepʁaχˈim	2=ufʁaχˈim	prefix						
colloquial	הכביש מלא באוטובוסים ומכוניות רבות.	3=vemeχonijˈot	3=umχonijˈot	prefix			x should be umxo (and vemxo?)	fixed		
colloquial	היו רעמים וברקים חזקים בלילה.	2=vebʁakˈim	2=uvʁakˈim	prefix						
colloquial	יש צעירים וזקנים בקהל היום.	2=vezkenˈim	2=uzkenˈim	prefix						
colloquial	ראינו עצב ושמחה בסרט הזה.	2=vesimχˈa	2=usimχˈa	prefix						
colloquial	אכלתי הרבה אורז וקצת סלט.	3=vektˈsat	3=uktˈsat	prefix						
colloquial	שמעתי סיפורים ושקרים על האיש.	2=veʃkaʁˈim	2=uʃkaʁˈim	prefix						
colloquial	מצאנו חתולים וכלבים נטושים ברחוב.	2=veklavˈim	2=uχlavˈim	prefix						
colloquial	אתה יכול לתפור לי את החולצה?	2=litfˈoʁ	2=litpˈoʁ	consonant	bgdkft					
colloquial	הוא ניסה לדפוק מסמר בקיר בסלון.	2=lidfˈok	2=lidpˈok	consonant						
colloquial	המכתב הגיע אתמול בבוקר בדואר רשום.	1=hegˈia	1=higˈia	vowel	verb form					
colloquial	אנחנו אוכלים צהריים בדרך כלל בבית.	2=tsahaʁˈajim	2=tsohoʁˈajim	vowel	hataf vowel					
colloquial	הקדשתי לכך מחשבה רבה במהלך היום.	2=maχʃavˈa	2=maχaʃavˈa	vowel	hataf vowel					
colloquial	קניתי תותים מתוקים בשוק של יום שישי.	1=tˈutim	1=tutˈim	stress	lexical					
colloquial	הגנב סוף סוף נתפס על ידי המשטרה.	3=nitfˈas	3=nitpˈas	consonant	bgdkft					
colloquial	ראיתי שם אישה ובחור צעיר עומדים בתור.	3=vebaχˈuʁ	3=uvaχˈuʁ	prefix						
colloquial	אני נשאר כאן ופה אני אשן הלילה.	3=vepˈo	3=ufˈo	prefix,consonant	prefix,bgdkft					
colloquial	המורה כעס ומיד החרים לילד את הטלפון.	3=heχʁˈim	3=heχeʁˈim	vowel	hataf vowel					
colloquial	הוא הוכרז בתור מועמד מוביל בבחירות האלו.	3=muʔamˈad	3=moʔomˈad	vowel	verb form					
colloquial	קניתי אתמול מגהץ חדש בחנות מוצרי חשמל.	2=megahˈets	2=maghˈets	vowel	lexical					
colloquial	בבקשה סגרי את הדלת כשאת יוצאת מהחדר.	1=sgeʁˈi	1=sigʁˈi	vowel	imperative					
colloquial	יש שם חתולים וכלבים שמשחקים יחד בחצר.	3=veklavˈim	3=uχlavˈim	prefix,consonant	prefix,bgdkft					
colloquial	נכנסתי לחדר החשוך ומיד הדלקתי את האור.	4=hedlˈakti	4=hidlˈakti	vowel	verb form					
colloquial	הזמנתי מקום לשניים במסעדה החדשה.	2=leʃnˈajim	2=liʃnˈajim	vowel	prefix					
colloquial	השבוע הגיע משלוח מיוחד מהולנד הרחוקה.	4=mihˈoland	4=mehˈoland	vowel	prefix					
colloquial	היינו באותו הגדוד ובסוף התחברנו מאוד מהר.	4=hitχabˈaʁnu	4=hitχavˈaʁnu	consonant			? formal/informal wrong, remove?		questionable	
colloquial	היא לומדת צרפתית כבר שלוש שנים בבית הספר.	2=tsaʁfatˈit	2=tsoʁfatˈit	vowel			? formal/informal switched and informal could be either, remove?		questionable	
colloquial	נצא לטיול מחרתיים על הבוקר אם מזג האוויר יאפשר.	2=maχʁatˈajim	2=moχoʁatˈajim	vowel	hataf vowel					
colloquial	וכשאתם מגיעים הביתה, אל תשכחו להתקשר אליי מיד.	0=vekʃeʔatˈem	0=uxʃeʔatˈem	prefix	prefix,bgdkft					
colloquial	עברנו כבר כמה שלבים חשובים מאוד בפרויקט הזה.	3=ʃlavˈim	3=ʃlabˈim	consonant	bgdkft					
colloquial	הילדים שיחקו בחצר עם שלושה כלבלבים קטנים וחמודים.	5=klavlavˈim	5=klablabˈim	consonant	bgdkft					
