id|index|graphemes|formal_wav|informal_wav|formal_ipa|informal_ipa|formal_normalized|informal_normalized
001|3|הכל תלוי בחברים ומשפחה תומכת.|001_formal.wav|001_informal.wav|umiʃpaχˈa|vemiʃpaχˈa|ʔumiʃpaχˈa.|vemiʃpaχˈa.
002|2|נסיים היום ומחר נמשיך לעבוד.|002_formal.wav|002_informal.wav|umaχˈaʁ|vemaχˈaʁ|ʔumaχˈaʁ.|vemaχˈaʁ.
003|2|הלכנו הביתה ובמקום לנוח יצאנו.|003_formal.wav|003_informal.wav|uvimkˈom|vebimkˈom|ʔuvimkˈom.|vebimkˈom.
004|3|קניתי בשוק ירקות ופירות טריים.|004_formal.wav|004_informal.wav|ufeʁˈot|vepeʁˈot|ʔufeʁˈot.|vepeʁˈot.
005|5|ההסכם נחתם בין ארצות הברית וישראל הבוקר.|005_formal.wav|005_informal.wav|visʁaʔˈel|vejisʁaʔˈel|visʁaʔˈel.|vejisʁaʔˈel.
006|3|קנינו בחנות מכחולים וצבעים לציור.|006_formal.wav|006_informal.wav|utsvaʔˈim|vetsvaʔˈim|ʔutsvaʔˈim.|vetsvaʔˈim.
007|3|אני אוהב מוזיקה וספורט אתגרי.|007_formal.wav|007_informal.wav|uspˈoʁt|vespˈoʁt|ʔuspˈoʁt.|vespˈoʁt.
008|4|ארזתי מזוודה עם נעליים ובגדים לחופשה.|008_formal.wav|008_informal.wav|uvgadˈim|vebgadˈim|ʔuvɡadˈim.|vebɡadˈim.
009|2|שתלנו עצים ופרחים בגינה הציבורית.|009_formal.wav|009_informal.wav|ufʁaχˈim|vepʁaχˈim|ʔufʁaχˈim.|vepʁaχˈim.
010|3|הכביש מלא באוטובוסים ומכוניות רבות.|010_formal.wav|010_informal.wav|umχonijˈot|vemeχonijˈot|ʔumχonijˈot.|vemeχonijˈot.
011|2|היו רעמים וברקים חזקים בלילה.|011_formal.wav|011_informal.wav|uvʁakˈim|vebʁakˈim|ʔuvʁakˈim.|vebʁakˈim.
012|2|יש צעירים וזקנים בקהל היום.|012_formal.wav|012_informal.wav|uzkenˈim|vezkenˈim|ʔuzkenˈim.|vezkenˈim.
013|2|ראינו עצב ושמחה בסרט הזה.|013_formal.wav|013_informal.wav|usimχˈa|vesimχˈa|ʔusimχˈa.|vesimχˈa.
014|3|אכלתי הרבה אורז וקצת סלט.|014_formal.wav|014_informal.wav|uktsˈat|vektsˈat|ʔuktsˈat.|vektsˈat.
015|2|שמעתי סיפורים ושקרים על האיש.|015_formal.wav|015_informal.wav|uʃkaʁˈim|veʃkaʁˈim|ʔuʃkaʁˈim.|veʃkaʁˈim.
016|2|מצאנו חתולים וכלבים נטושים ברחוב.|016_formal.wav|016_informal.wav|uχlavˈim|veklavˈim|ʔuχlavˈim.|veklavˈim.
017|2|אתה יכול לתפור לי את החולצה?|017_formal.wav|017_informal.wav|litpˈoʁ|litfˈoʁ|litpˈoʁ.|litfˈoʁ.
018|2|הוא ניסה לדפוק מסמר בקיר בסלון.|018_formal.wav|018_informal.wav|lidpˈok|lidfˈok|lidpˈok.|lidfˈok.
019|1|המכתב הגיע אתמול בבוקר בדואר רשום.|019_formal.wav|019_informal.wav|higˈia|hegˈia|hiɡˈia.|heɡˈia.
020|2|אנחנו אוכלים צהריים בדרך כלל בבית.|020_formal.wav|020_informal.wav|tsohoʁˈajim|tsahaʁˈajim|tsohoʁˈajim.|tsahaʁˈajim.
021|1|קניתי תותים מתוקים בשוק של יום שישי.|021_formal.wav|021_informal.wav|tutˈim|tˈutim|tutˈim.|tˈutim.
022|3|הגנב סוף סוף נתפס על ידי המשטרה.|022_formal.wav|022_informal.wav|nitpˈas|nitfˈas|nitpˈas.|nitfˈas.
023|3|ראיתי שם אישה ובחור צעיר עומדים בתור.|023_formal.wav|023_informal.wav|uvaχˈuʁ|vebaχˈuʁ|ʔuvaχˈuʁ.|vebaχˈuʁ.
024|3|אני נשאר כאן ופה אני אשן הלילה.|024_formal.wav|024_informal.wav|ufˈo|vepˈo|ʔufˈo.|vepˈo.
025|3|המורה כעס ומיד החרים לילד את הטלפון.|025_formal.wav|025_informal.wav|heχeʁˈim|heχʁˈim|heχeʁˈim.|heχʁˈim.
026|3|הוא הוכרז בתור מועמד מוביל בבחירות האלו.|026_formal.wav|026_informal.wav|moʔomˈad|muʔamˈad|moʔomˈad.|muʔamˈad.
027|2|קניתי אתמול מגהץ חדש בחנות מוצרי חשמל.|027_formal.wav|027_informal.wav|maghˈets|megahˈets|maɡhˈets.|meɡahˈets.
028|1|בבקשה סגרי את הדלת כשאת יוצאת מהחדר.|028_formal.wav|028_informal.wav|sigʁˈi|sgeʁˈi|siɡʁˈi.|sɡeʁˈi.
029|3|יש שם חתולים וכלבים שמשחקים יחד בחצר.|029_formal.wav|029_informal.wav|uχlavˈim|veklavˈim|ʔuχlavˈim.|veklavˈim.
030|4|נכנסתי לחדר החשוך ומיד הדלקתי את האור.|030_formal.wav|030_informal.wav|hidlˈakti|hedlˈakti|hidlˈakti.|hedlˈakti.
031|2|הזמנתי מקום לשניים במסעדה החדשה.|031_formal.wav|031_informal.wav|liʃnˈajim|leʃnˈajim|liʃnˈajim.|leʃnˈajim.
032|4|השבוע הגיע משלוח מיוחד מהולנד הרחוקה.|032_formal.wav|032_informal.wav|mehˈoland|mihˈoland|mehˈoland.|mihˈoland.
033|4|היינו באותו הגדוד ובסוף התחברנו מאוד מהר.|033_formal.wav|033_informal.wav|hitχavˈaʁnu|hitχabˈaʁnu|hitχavˈaʁnu.|hitχabˈaʁnu.
034|2|היא לומדת צרפתית כבר שלוש שנים בבית הספר.|034_formal.wav|034_informal.wav|tsoʁfatˈit|tsaʁfatˈit|tsoʁfatˈit.|tsaʁfatˈit.
035|2|נצא לטיול מחרתיים על הבוקר אם מזג האוויר יאפשר.|035_formal.wav|035_informal.wav|moχoʁatˈajim|maχʁatˈajim|moχoʁatˈajim.|maχʁatˈajim.
036|0|וכשאתם מגיעים הביתה, אל תשכחו להתקשר אליי מיד.|036_formal.wav|036_informal.wav|uxʃeʔatˈem|vekʃeʔatˈem|ʔuχʃeʔatˈem.|vekʃeʔatˈem.
037|3|עברנו כבר כמה שלבים חשובים מאוד בפרויקט הזה.|037_formal.wav|037_informal.wav|ʃlabˈim|ʃlavˈim|ʃlabˈim.|ʃlavˈim.
038|5|הילדים שיחקו בחצר עם שלושה כלבלבים קטנים וחמודים.|038_formal.wav|038_informal.wav|klablabˈim|klavlavˈim|klablabˈim.|klavlavˈim.
039|5|הוא הסביר לי את המצב וכך הבנתי את הטעות.|039_formal.wav|039_informal.wav|veχˈaχ|vekˈaχ|veχˈaχ.|vekˈaχ.
040|4|הוא נזכר בסיפור הישן בכל פעם שהוא עובר כאן.|040_formal.wav|040_informal.wav|beχˈol|bekˈol|beχˈol.|bekˈol.
041|3|אנחנו הולכים היום לקניון כדי לעשות קצת קניות.|041_formal.wav|041_informal.wav|kanjˈon|kˈenjon|kanjˈon.|kˈenjon.
042|3|הוא קנה בשוק משמש טרי בשביל להכין קינוח.|042_formal.wav|042_informal.wav|miʃmˈeʃ|mˈiʃmiʃ|miʃmˈeʃ.|mˈiʃmiʃ.
043|2|הם החליטו להתאבק בבוץ כחלק מהתחרות המוזרה הזו.|043_formal.wav|043_informal.wav|lehitʔabˈek|lehitʔavˈek|lehitʔabˈek.|lehitʔavˈek.
044|2|הוא מנסה לפסטר את החלב הטרי שקנה מהחווה.|044_formal.wav|044_informal.wav|lefastˈeʁ|lepastˈeʁ|lefastˈeʁ.|lepastˈeʁ.
045|6|הסגנון המוזיקלי החדש שלו הוא מאוד קצבי ומרקיד.|045_formal.wav|045_informal.wav|kitsbˈi|kitsvˈi|kitsbˈi.|kitsvˈi.
046|1|כל פריט בחנות הזאת נמכר בהנחה גדולה.|046_formal.wav|046_informal.wav|pʁˈit|paʁˈit|pʁˈit.|paʁˈit.
047|3|הוא טבל את המכחול בצבע כחול והתחיל לצייר.|047_formal.wav|047_informal.wav|hamiχχˈol|mikχˈol|hamiχχˈol.|mikχˈol.
048|3|הוא ביקש ממני לכתוב את המכתב הזה עבורו.|048_formal.wav|048_informal.wav|liktˈov|liχtˈov|liktˈov.|liχtˈov.
